question,optionA,optionB,optionC,optionD,correctAnswer
"¿Qué describe mejor un Producto Mínimo Viable (PMV)?","Un producto con todas las funcionalidades finales","Un producto con características básicas para probar su valor","Un producto sin pruebas implementadas","Un producto destinado exclusivamente para demostraciones","B"
"¿Qué herramienta visual se utiliza para rastrear el progreso de un Sprint?","Diagramas de Gantt","Gráfico Burndown","Pizarra blanca","Criterios de aceptación","B"
"¿Qué es un "Release Burndown Chart"?","Una vista global del progreso del proyecto","Un gráfico que mide el esfuerzo restante en un sprint","Un gráfico que evalúa las versiones lanzadas","Una lista de requisitos no cumplidos","C"
"¿Qué aspecto clave incluye la Sprint Review?","Revisar el backlog técnico","Mostrar sólo incrementos completados","Modificar la visión del producto","Revisar la asignación de tareas","B"
"¿Cuál es un objetivo principal de la Sprint Retrospective?","Evaluar la calidad del código","Mejorar continuamente los procesos del equipo","Revisar los requisitos del cliente","Documentar el backlog técnico","B"
"¿Qué describe el concepto de "Velocidad Real" en Scrum?","Estimaciones iniciales del esfuerzo","El número de puntos de historia completados dividido por el tiempo total","El backlog técnico completado","El esfuerzo restante para finalizar el proyecto","B"
"¿Qué estrategia se utiliza cuando se fija el alcance en un proyecto Scrum?","Se ajustan los tiempos según sea necesario","Se priorizan solo las tareas críticas","Se eliminan los MVPs secundarios","Se reducen los sprints intermedios","A"
"¿Qué elemento NO forma parte de un Incremento en Scrum?","Criterios de aceptación cumplidos","Trabajo probado y listo para producción","Documentación mínima necesaria","Tareas pendientes para el próximo sprint","D"
"¿Qué representa un "Product Burndown Chart"?","El progreso del backlog completo del producto","El esfuerzo restante en el sprint actual","Las tareas completadas en un día","Las dependencias entre equipos","A"
"¿Cuál es un ejemplo de cómo evitar cuellos de botella en el WIP?","Limitar la cantidad de tareas activas","Asignar más personal a cada tarea","Reducir la duración de los sprints","Incrementar los puntos de historia","A"
"¿Qué significa "Definición de Hecho" (DoD) en Scrum?","Una lista flexible de criterios para cada proyecto","Un conjunto acordado de criterios de calidad","Un estándar fijo para todos los equipos","Un documento técnico con requerimientos del cliente","B"
"¿Qué es una característica clave de un Incremento de Scrum?","Se entrega al cliente directamente sin revisión","Se prueba y se valida como "hecho" por el equipo","Incluye tareas parciales para el próximo sprint","Se documenta como una entrega futura","B"
"¿Qué elemento es esencial para calcular la Velocidad de un equipo?","El backlog técnico","El esfuerzo estimado en puntos de historia","El número total de bugs detectados","El tiempo restante del sprint","B"
"¿Qué característica define un Sprint Backlog?","Lista de todas las tareas del proyecto","Lista de ítems seleccionados para el sprint actual","Una visión global del producto","Un registro de todas las reuniones","B"
"¿Qué es un ejemplo de un "Incremento Hecho-Hecho"?","Un incremento probado, validado y listo para producción","Un incremento que necesita pruebas adicionales","Un incremento con tareas pendientes de integración","Un incremento que falta documentar","A"
"¿Qué describe un "Scrum Diario"?","Una revisión semanal del progreso","Una reunión breve para inspeccionar y adaptar","Un informe detallado del Product Owner","Un análisis técnico de las tareas completadas","B"
"¿Qué significa un "MVP" (Producto Mínimo Viable)?","El producto más económico posible","El producto con funcionalidades esenciales para el cliente","Un prototipo sin pruebas ni validaciones","El entregable final del proyecto","B"
"¿Qué elemento asegura que un Incremento está "hecho"?","Pruebas completas y aprobación del Product Owner","Asignación de más recursos técnicos","Revisiones diarias del Scrum Master","Validación del cliente durante el sprint","A"
"¿Qué herramienta ayuda a ajustar la visión del producto después de un Sprint?","Tablero Kanban","Reunión de Sprint Review","Gráfico Burndown","Planning Poker","B"
"¿Qué práctica fomenta la Sprint Retrospective?","La búsqueda de culpables por errores","La mejora continua y la colaboración","La revisión de los criterios de aceptación","La priorización de tareas críticas","B"
"¿Qué se revisa en una "Sprint Review"?","El backlog completo","El progreso del Incremento en comparación con el objetivo del sprint","Las reuniones técnicas del equipo","Los errores críticos detectados en el sprint","B"
"¿Qué elemento visual permite monitorear el progreso global del producto?","Sprint Backlog","Product Burndown Chart","Tablero Kanban","Gráfico de dependencias","B"
"¿Qué es esencial para la "Definición de Hecho"?","Requisitos flexibles","Estándares claros y acordados por el equipo","Documentación técnica extensa","Asignaciones específicas del Scrum Master","B"
"¿Qué garantiza un "Incremento Hecho"?","Se entrega directamente al cliente","Cumple con los estándares acordados y está listo para producción","Requiere menos revisión técnica","Tiene criterios de aceptación flexibles","B"
"¿Qué rol tiene el Product Owner en la Sprint Review?","Aprobar todas las tareas técnicas","Comprobar el progreso del producto y obtener retroalimentación","Modificar las tareas pendientes del backlog","Asegurar la calidad técnica del incremento","B"
"¿Qué asegura la calidad de un Incremento?","Cumplir sólo con los plazos","Revisiones continuas y pruebas completas","Reducir los criterios de aceptación","Extender los tiempos de sprint","B"
"¿Qué tipo de gráfico mide el esfuerzo restante en el sprint?","Gráfico Burndown del Sprint","Gráfico Product Burndown","Gráfico Kanban","Gráfico de Historias Completadas","A"
"¿Qué caracteriza una Sprint Retrospective efectiva?","Identificar culpables de los errores","Fomentar la confianza y buscar mejoras continuas","Ampliar el backlog técnico","Reducir la duración de futuros sprints","B"
"¿Qué representa el Incremento al final del Sprint?","Un prototipo funcional","Un conjunto de entregables incompletos","El trabajo validado y listo para entrega","Un resumen del backlog técnico","C"
"¿Qué se mide en un Release Burndown Chart?","El progreso general de la entrega final","La velocidad de los equipos por sprint","El total de tareas completadas","El número de dependencias técnicas restantes","A"
"¿Cómo contribuyen los gráficos Burndown al proceso ágil?","Facilitan la documentación técnica","Permiten evaluar el progreso del equipo","Reducen la necesidad de reuniones","Eliminan la necesidad de retrospectivas","B"
"¿Qué diferencia una historia de usuario de un requisito técnico?","La historia de usuario se centra en valor para el cliente","La historia de usuario detalla todos los criterios técnicos","Un requisito técnico es opcional","La historia de usuario se escribe en lenguaje técnico","A"
"¿Qué significa el concepto de "Done" en Scrum?","Criterios mínimos de finalización del sprint","Entregables acordados con estándares de calidad","Tareas sin revisar por el cliente","Requisitos eliminados del backlog","B"
"¿Qué fomenta el Daily Scrum en un equipo ágil?","Resolución de problemas extensos","Inspección y adaptación rápida","Análisis exhaustivo del backlog","Aprobación de nuevas tareas","B"
"¿Cuál es el propósito principal del Sprint Planning?","Planificar todas las iteraciones del proyecto","Definir el objetivo del sprint y seleccionar tareas del backlog","Establecer la velocidad del equipo","Revisar las tareas completadas en el sprint anterior","B"
"¿Cómo se calcula la velocidad de un equipo en Scrum?","Dividiendo las horas dedicadas entre las tareas completadas","Sumando los puntos de historia completados en un sprint","Analizando el backlog técnico","Multiplicando la duración del sprint por el esfuerzo estimado","B"
"¿Qué aspecto se evalúa en una Retrospectiva de Sprint?","La velocidad del equipo","Las tareas pendientes","Las áreas de mejora y éxito del sprint","La aprobación del backlog","C"
"¿Qué herramienta de Scrum ayuda a visualizar los cuellos de botella?","Tablero Kanban","Sprint Backlog","Release Plan","Diagramas de Gantt","A"
"¿Cuál es el enfoque principal del Sprint Backlog?","Listar todas las tareas del proyecto","Definir las tareas del sprint actual","Priorizar tareas del Product Backlog","Reducir el esfuerzo técnico","B"
"¿Qué representa un Incremento en Scrum?","Un entregable funcional que cumple con los criterios de calidad","Un prototipo en desarrollo","Un conjunto de tareas sin completar","Un backlog de requisitos técnicos","A"
"¿Qué elemento es clave para evitar sobrecarga de tareas en un equipo ágil?","Limitar el WIP (Work In Progress)","Ampliar los recursos técnicos","Reducir los objetivos del sprint","Extender la duración del sprint","A"
"¿Qué propósito tiene el Planning Poker en Scrum?","Estimar tareas de forma colaborativa","Asignar tareas individuales","Priorizar elementos del backlog","Monitorear el progreso del sprint","A"
"¿Qué asegura que un Incremento esté listo para producción?","Cumplir con la Definición de Hecho","Tener aprobaciones parciales","Documentar los errores restantes","Reducir los criterios de calidad","A"
"¿Qué herramienta mide el progreso de una entrega global en Scrum?","Release Burndown Chart","Sprint Backlog","Gráfico de Historias","Tablero de dependencias","A"
"¿Qué asegura la transparencia en un equipo Scrum?","Uso adecuado de artefactos como el Product Backlog y gráficos Burndown","Documentación extensiva del proceso","Revisiones constantes del Scrum Master","Limitación de interacciones con stakeholders","A"
"¿Qué fomenta el uso de retrospectivas en Scrum?","La mejora continua en procesos y dinámicas de equipo","La documentación extensiva del sprint","La priorización de tareas técnicas","El control centralizado por el Product Owner","A"
"¿Qué pregunta clave se responde en una Sprint Review?","¿Qué tareas quedaron incompletas?","¿Cumplimos con los objetivos del sprint?","¿Qué cambios debemos hacer en el backlog técnico?","¿Cuántos puntos de historia se completaron?","B"
